date posted (GMT),title,address,distance (km),price,post_url
"September 7, 2017 2:22 PM","5BDRM 4BATH UNIT 5-minute-walk to UW, Utility Inclusive, Jan 1","Waterloo, ON N2L2R7",0.793,$530.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/5bdrm-4bath-unit-5-minute-walk-to-uw-utility-inclusive-jan-1/1288191509"">link</a>"
"August 11, 2017 7:22 PM","$450/month,all including,near two universities","197 Carter Ave, Waterloo, ON N2J 3K5, Canada",2.327,$450.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/450-month-all-including-near-two-universities/1288729155"">link</a>"
"August 10, 2017 3:12 PM",One Month FREE on Student Rentals | Waterloo Fall 2017,"261 Lester St, Waterloo, ON N2L 3W6, Canada",0.671,$675.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/one-month-free-on-student-rentals-waterloo-fall-2017/1288395444"">link</a>"
"September 4, 2017 8:32 PM",Rooms near universities - 4 or 8 month terms available,"121 University Ave E, Waterloo, ON N2J 4J1, Canada",2.269,$500.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/rooms-near-universities-4-or-8-month-terms-available/1295026502"">link</a>"
"August 22, 2017 12:02 AM",Two Months Free at 253 Lester St Unit 204!,"253 Lester St, Waterloo, ON N2L 3W6, Canada",0.667,$563.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/two-months-free-at-253-lester-st-unit-204/1285731061"">link</a>"
"August 15, 2017 10:25 PM",Room for rent,"Waterloo, ON N2J1K7",1.991,$475.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/room-for-rent/1289846932"">link</a>"
"September 8, 2017 1:18 PM","rooms for rent in waterloo for $430  near WLU , transit","Waterloo, ON N2J2S2",1.925,$430.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/rooms-for-rent-in-waterloo-for-430-near-wlu-transit/1295998690"">link</a>"
"September 6, 2017 6:04 PM",Bright clean room for rent - $450 all inclusive,"Waterloo, ON N2J3K9",2.429,$450.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/bright-clean-room-for-rent-450-all-inclusive/1295544821"">link</a>"
"September 7, 2017 2:20 PM",Great Room For Rent,"Waterloo, ON N2L3K8",1.011,Please Contact,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/great-room-for-rent/1295748148"">link</a>"
"September 8, 2017 11:29 AM",FURNISHED STUDENT BEDROOM RENTALS * ONLY $445 with 1 MONTH FREE!,"400 Albert St, Waterloo, ON, N2L 3V3",1.315,$445.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/furnished-student-bedroom-rentals-only-445-with-1-month-free/1223871031"">link</a>"
"September 7, 2017 3:26 PM",3 Bed Detached House (Female Preferred) is available for sharing,"404 Tealby Crescent, Waterloo, ON N2J 4Y8, Canada",2.928,$500.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/3-bed-detached-house-female-preferred-is-available-for-sharing/1295767965"">link</a>"
"August 12, 2017 11:57 PM","Rooms to rent, Newly renovated, new beds and mattreses","511 Weber St N, Waterloo, ON N2L 4G1, Canada",2.447,$599.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/rooms-to-rent-newly-renovated-new-beds-and-mattreses/1289051589"">link</a>"
"August 18, 2017 8:14 PM",Room for rent at 2 bedroom appartment-Fully furnished!,"55 Hickory St E, Waterloo, ON N2J 3J5, Canada",1.823,$650.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/room-for-rent-at-2-bedroom-appartment-fully-furnished/1290596994"">link</a>"
"August 10, 2017 3:14 PM",One Month FREE on Student Rentals | Waterloo Fall 2017,"253 Lester St, Waterloo, ON N2L 3W6, Canada",0.667,$675.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/one-month-free-on-student-rentals-waterloo-fall-2017/1288396151"">link</a>"
"September 4, 2017 9:18 PM",Looking for female roommate for Sept 16th,"94 John St W, Waterloo, ON N2L 1C1, Canada",2.189,$600.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/looking-for-female-roommate-for-sept-16th/1295043787"">link</a>"
"August 19, 2017 9:16 PM",Large rooms in beautiful home. Nobody is closer to campus!,"149 Albert St, Waterloo, ON N2L 3T2, Canada",0.967,$750.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/large-rooms-in-beautiful-home-nobody-is-closer-to-campus/1290823322"">link</a>"
"September 5, 2017 4:05 PM",These beautiful 5 bedroom units are available for September 2017,"36-40 University Ave, Waterloo, ON, N2J 2V8",1.727,$525.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/these-beautiful-5-bedroom-units-are-available-for-september-2017/1235961361"">link</a>"
